id,playtime,playtime_str,projectiles_shot
141,2039.57000,00:33:59,20634
111,977.15000,00:16:17,8127
70,2183.43000,00:36:23,7729
108,2263.07000,00:37:43,7287
128,1541.05000,00:25:41,5291
143,954.80000,00:15:54,2769
107,1805.03000,00:30:05,2246
126,891.10000,00:14:51,2137
199,1570.90000,00:26:10,1954
13,1637.25000,00:27:17,1884
116,4748.67000,01:19:08,1725
75,1228.83000,00:20:28,1555
121,1189.30000,00:19:49,1518
150,759.25000,00:12:39,1445
154,926.95000,00:15:26,1388
178,1248.82000,00:20:48,1288
96,1483.68000,00:24:43,1213
120,833.83300,00:13:53,983
64,824.45000,00:13:44,905
160,1018.72000,00:16:58,847
110,1439.23000,00:23:59,845
113,771.88300,00:12:51,771
184,516.35000,00:08:36,741
103,1004.33000,00:16:44,713
175,671.86700,00:11:11,655
39,1166.60000,00:19:26,635
74,914.53300,00:15:14,592
166,584.68300,00:09:44,589
73,667.23300,00:11:07,578
127,895.76700,00:14:55,576
119,908.51700,00:15:08,565
112,471.01700,00:07:51,552
138,1944.10000,00:32:24,549
165,589.35000,00:09:49,513
158,582.95000,00:09:42,502
163,809.85000,00:13:29,500
106,603.08300,00:10:03,494
81,550.50000,00:09:10,476
77,1351.43000,00:22:31,473
53,642.48300,00:10:42,461
186,429.45000,00:07:09,458
33,905.35000,00:15:05,449
182,646.38300,00:10:46,424
147,291.58300,00:04:51,419
89,1671.80000,00:27:51,389
12,1060.37000,00:17:40,388
59,1124.38000,00:18:44,376
164,296.25000,00:04:56,366
118,579.53300,00:09:39,360
134,1033.82000,00:17:13,355
200,346.58300,00:05:46,348
142,397.71700,00:06:37,347
10,59.53330,00:00:59,346
196,455.03300,00:07:35,344
87,371.20000,00:06:11,330
167,443.41700,00:07:23,325
131,511.95000,00:08:31,318
86,591.91700,00:09:51,314
1,623.36700,00:10:23,309
133,145.10000,00:02:25,284
58,319.90000,00:05:19,282
14,402.46700,00:06:42,254
190,388.20000,00:06:28,240
168,270.03300,00:04:30,238
43,456.20000,00:07:36,228
188,182.63300,00:03:02,227
170,685.96700,00:11:25,220
101,486.20000,00:08:06,206
124,316.55000,00:05:16,204
201,233.81700,00:03:53,201
50,363.08300,00:06:03,198
157,210.43300,00:03:30,198
114,230.38300,00:03:50,183
78,259.58300,00:04:19,183
95,147.43300,00:02:27,180
27,373.41700,00:06:13,178
145,258.80000,00:04:18,172
123,167.80000,00:02:47,171
176,473.91700,00:07:53,168
185,253.95000,00:04:13,166
18,380.61700,00:06:20,162
161,517.06700,00:08:37,161
122,397.00000,00:06:37,157
36,523.75000,00:08:43,157
37,354.93300,00:05:54,156
42,689.70000,00:11:29,153
159,274.45000,00:04:34,153
21,469.45000,00:07:49,150
55,177.61700,00:02:57,149
146,193.53300,00:03:13,148
80,393.58300,00:06:33,147
99,230.10000,00:03:50,146
72,747.08300,00:12:27,145
177,398.36700,00:06:38,143
169,348.98300,00:05:48,142
88,123.01700,00:02:03,141
76,292.38300,00:04:52,140
68,618.61700,00:10:18,127
48,358.61700,00:05:58,125
90,258.11700,00:04:18,125
130,70.63330,00:01:10,125
79,158.26700,00:02:38,124
115,224.66700,00:03:44,123
8,628.23300,00:10:28,122
20,387.38300,00:06:27,117
187,188.83300,00:03:08,115
197,165.13300,00:02:45,114
183,119.13300,00:01:59,114
125,228.56700,00:03:48,112
32,256.96700,00:04:16,110
51,184.51700,00:03:04,106
2,463.70000,00:07:43,106
24,259.65000,00:04:19,106
6,257.96700,00:04:17,105
132,145.90000,00:02:25,105
28,474.83300,00:07:54,105
100,76.30000,00:01:16,101
