id,killed_by
81, | bzzt!
2, | damage from material: acid
93, | damage from material: acid
152, | damage from material: acid
123, | damage from material: acid
186, | damage from material: acid
82, | damage from material: acid
22, | damage from material: acid
163, | damage from material: acid
98, | damage from material: acid
29, | damage from material: acid
159, | damage from material: acid
156, | damage from material: freezing vapour
118, | damage from material: freezing vapour
38, | damage from material: Greed-cursed liquid
5, | damage from material: Greed-cursed rock
87, | damage from material: lava
64, | damage from material: lava
43, | damage from material: lava
15, | damage from material: lava
190, | damage from material: lava
21, | damage from material: lava
105, | damage from material: lava
141, | damage from material: lava
104, | damage from material: toxic gas
60, | damage from material: toxic rock
120, | drowning
176, | drowning
182, | electricity
201, | electricity
30, | electricity
36, | electricity
110, | explosion
202, | explosion
199, | explosion
10, | explosion
187, | explosion
19, | explosion
24, | explosion
28, | explosion
31, | explosion
33, | explosion
37, | explosion
41, | explosion
179, | explosion
172, | explosion
50, | explosion
51, | explosion
52, | explosion
169, | explosion
55, | explosion
57, | explosion
58, | explosion
162, | explosion
69, | explosion
146, | explosion
71, | explosion
139, | explosion
136, | explosion
78, | explosion
79, | explosion
125, | explosion
124, | explosion
89, | explosion
122, | explosion
95, | explosion
119, | explosion
97, | explosion
103, | explosion
115, | explosion
114, | explosion
101, | fire
188, | fire
27, | fire
75, | fire
34, | fire
166, | fire
197, | fire
117, | fire
14, | fire
23, | fire
108, | fire
145, | fire
130, | fire
177, | fire
128, | fire
171, | fire
25, | fire
116, | heavy impact
170, | heavy impact
9, | plasma beam
113, | plasma beam
134, | plasma beam
185, | toxic
133, | worm bite
106,Amppari | melee
138,Amppari | melee
195,Hämis | melee
42,Haulikkohiisi | melee
12,Haulikkohiisi | projectile
59,Haulikkohiisi | projectile
167,Haulikkohiisi | projectile
39,Haulikkohiisi | projectile
200,Haulikkohiisi | projectile
107,Haulikkohiisi | projectile
92,Heikko haulikkohiisi | projectile
161,Heikko haulikkohiisi | projectile
20,Heikko haulikkohiisi | projectile
32,Heikko haulikkohiisi | projectile
168,Heikko haulikkohiisi | projectile
1,Heikko limanuljaska | projectile
11,Heikko limanuljaska | projectile
6,IT-Tankki | projectile
150,Jäätiö | ice
154,Jäätiö | melee
127,Kranuhiisi | projectile
126,Kranuhiisi | projectile
111,Kranuhiisi | projectile
96,Kranuhiisi | projectile
100,Kummitus | melee
73,Kummitus | slice
196,Lepakko | melee
53,Lepakko | melee
165,Lepakko | melee
8,Lepakko | melee
158,Limanuljaska | projectile
91,Limanuljaska | projectile
178,Minä | fire
72,Minä | projectile
49,Minä | projectile
80,Minä | projectile
175,Minä | slice
48,Minä | slice
90,Pikkutulikärpänen | fire
77,Rynkkyhiisi | projectile
70,Rynkkyhiisi | projectile
131,Rynkkyhiisi | projectile
13,Snipuhiisi | projectile
121,Snipuhiisi | projectile
183,Stendari | fire
61,Stendari | melee
45,Stevari | projectile
147,Stevari | projectile
193,Stevari | projectile
191,Stevari | projectile
112,Suurlepakko | melee
164,Suurlepakko | melee
160,Suurtulikärpänen | fire
142,Suurtulikärpänen | melee
148,Tappurahiisiläinen | melee
174,Tappurahiisiläinen | melee
157,Tappurahiisiläinen | melee
143,Toimari | projectile
76,Ukko | electricity
132,Ukko | electricity
194,
198,
7,
4,
3,
109,
102,
99,
94,
88,
86,
85,
129,
84,
83,
135,
137,
74,
140,
144,
149,
151,
68,
153,
155,
67,
66,
65,
63,
62,
56,
54,
47,
173,
46,
44,
180,
181,
40,
184,
35,
26,
18,
17,
189,
16,
192,
