"minutes_played_rounded","total_sessions","killed_by"
0,"1","damage from material: acid"
0,"1","plasma beam"
1,"1","damage from material: acid"
1,"1","damage from material: toxic gas"
1,"6","explosion"
1,"3","fire"
1,"1","Heikko haulikkohiisi | projectile"
1,"1","Kummitus | melee"
1,"1","Stevari | projectile"
2,"2","damage from material: acid"
2,"1","damage from material: freezing vapour"
2,"1","damage from material: Greed-cursed liquid"
2,"1","damage from material: Greed-cursed rock"
2,"2","damage from material: lava"
2,"2","explosion"
2,"1","fire"
2,"1","Hämis | melee"
2,"1","Stendari | fire"
2,"1","Stendari | melee"
2,"1","Stevari | projectile"
2,"2","Tappurahiisiläinen | melee"
2,"1","Ukko | electricity"
2,"1","worm bite"
3,"2","damage from material: acid"
3,"1","electricity"
3,"8","explosion"
3,"2","fire"
3,"1","Limanuljaska | projectile"
4,"1","electricity"
4,"8","explosion"
4,"3","fire"
4,"1","Heikko haulikkohiisi | projectile"
4,"1","Heikko limanuljaska | projectile"
4,"1","IT-Tankki | projectile"
4,"1","Minä | projectile"
4,"1","Pikkutulikärpänen | fire"
4,"1","Stevari | projectile"
4,"1","Tappurahiisiläinen | melee"
4,"1","toxic"
5,"2","damage from material: acid"
5,"1","damage from material: toxic rock"
5,"3","explosion"
5,"1","Heikko haulikkohiisi | projectile"
5,"1","Stevari | projectile"
5,"1","Suurlepakko | melee"
5,"1","Ukko | electricity"
6,"2","damage from material: lava"
6,"4","explosion"
6,"1","fire"
6,"1","Haulikkohiisi | projectile"
6,"1","Heikko haulikkohiisi | projectile"
6,"1","Minä | slice"
7,"1","damage from material: acid"
7,"1","explosion"
7,"2","fire"
7,"1","Haulikkohiisi | projectile"
7,"1","Minä | projectile"
7,"1","Suurtulikärpänen | melee"
8,"1","damage from material: acid"
8,"2","damage from material: lava"
8,"1","drowning"
8,"1","explosion"
8,"1","fire"
8,"1","Lepakko | melee"
8,"1","Suurlepakko | melee"
9,"1","bzzt!"
9,"1","electricity"
9,"1","Heikko haulikkohiisi | projectile"
9,"1","Rynkkyhiisi | projectile"
10,"1","Amppari | melee"
10,"1","damage from material: freezing vapour"
10,"1","fire"
10,"1","Heikko limanuljaska | projectile"
10,"2","Lepakko | melee"
10,"1","Limanuljaska | projectile"
11,"1","electricity"
11,"1","Haulikkohiisi | melee"
11,"1","heavy impact"
11,"1","Kummitus | slice"
11,"1","Lepakko | melee"
11,"1","Minä | slice"
12,"1","Minä | projectile"
13,"1","damage from material: acid"
13,"1","Jäätiö | ice"
13,"1","plasma beam"
14,"1","damage from material: lava"
14,"1","drowning"
15,"2","explosion"
15,"1","Jäätiö | melee"
15,"2","Kranuhiisi | projectile"
16,"1","Kranuhiisi | projectile"
16,"1","Toimari | projectile"
17,"1","explosion"
17,"1","plasma beam"
17,"1","Suurtulikärpänen | fire"
18,"1","Haulikkohiisi | projectile"
19,"2","Haulikkohiisi | projectile"
20,"1","fire"
20,"1","Snipuhiisi | projectile"
21,"1","Minä | fire"
23,"1","Rynkkyhiisi | projectile"
24,"1","explosion"
25,"1","Kranuhiisi | projectile"
26,"1","explosion"
26,"1","fire"
27,"1","Snipuhiisi | projectile"
28,"1","explosion"
30,"1","Haulikkohiisi | projectile"
32,"1","Amppari | melee"
34,"1","damage from material: lava"
36,"1","Rynkkyhiisi | projectile"
38,"1","fire"
79,"1","heavy impact"
